,Symbol,Ensembl
157,Hotairm1,ENSMUSG00000087658
158,4732456N10Rik,ENSMUSG00000048699
159,D030055H07Rik,ENSMUSG00000086296
160,Sstr1,ENSMUSG00000035431
161,Npas4,ENSMUSG00000045903
162,Fam60a,ENSMUSG00000039985
163,Gpr176,ENSMUSG00000040133
164,Rgag4,ENSMUSG00000049191
165,Rprml,ENSMUSG00000046215
166,Pcdh15,ENSMUSG00000052613
167,Ccnb2,ENSMUSG00000032218
168,Cdc20,ENSMUSG00000006398
169,Sapcd2,ENSMUSG00000026955
170,Cenpf,ENSMUSG00000026605
171,Cdca8,ENSMUSG00000028873
172,Hist1h2ap,ENSMUSG00000094777
173,Nusap1,ENSMUSG00000027306
174,Ckap2,ENSMUSG00000037725
175,Ccna2,ENSMUSG00000027715
176,Slitrk6,ENSMUSG00000045871
177,Aurka,ENSMUSG00000027496
178,Tuba1c,ENSMUSG00000043091
179,Racgap1,ENSMUSG00000023015
180,Nnmt,ENSMUSG00000032271
181,Emp1,ENSMUSG00000030208
182,Kif20a,ENSMUSG00000003779
183,Itih5,ENSMUSG00000025780
184,Cks2,ENSMUSG00000062248
185,Fam64a,ENSMUSG00000020808
186,Top2a,ENSMUSG00000020914
187,Hmgb2,ENSMUSG00000054717
188,Spc25,ENSMUSG00000005233
189,H2-Q4,ENSMUSG00000035929
190,Col15a1,ENSMUSG00000028339
191,Tubb6,ENSMUSG00000001473
192,Gtse1,ENSMUSG00000022385
193,Ube2c,ENSMUSG00000001403
194,Slc35f1,ENSMUSG00000038602
195,Postn,ENSMUSG00000027750
196,Mxd3,ENSMUSG00000021485
197,Stmn1,ENSMUSG00000028832
198,Lockd,ENSMUSG00000098318
199,Ccnb1,ENSMUSG00000041431
200,Cenpa,ENSMUSG00000029177
201,Crym,ENSMUSG00000030905
202,Cdca3,ENSMUSG00000023505
203,Vim,ENSMUSG00000026728
204,Prc1,ENSMUSG00000038943
205,Col20a1,ENSMUSG00000016356
206,Nkd2,ENSMUSG00000021567
207,Tax1bp3,ENSMUSG00000040158
208,Hspa1b,ENSMUSG00000090877
209,Socs3,ENSMUSG00000053113
210,Casp4,ENSMUSG00000033538
211,Zfp36,ENSMUSG00000044786
212,Hspa1a,ENSMUSG00000091971
213,Cyr61,ENSMUSG00000028195
214,Gm12216,ENSMUSG00000081769
215,Cxcl1,ENSMUSG00000029380
216,Dnajb1,ENSMUSG00000005483
217,Rrad,ENSMUSG00000031880
218,Mrgprf,ENSMUSG00000031070
219,Prss23,ENSMUSG00000039405
220,Pdlim1,ENSMUSG00000055044
221,Art3,ENSMUSG00000034842
222,Matn2,ENSMUSG00000022324
223,Slc43a3,ENSMUSG00000027074
224,Sfrp1,ENSMUSG00000031548
225,H2-Q7,ENSMUSG00000060550
226,Ifi27l2a,ENSMUSG00000079017
227,Col18a1,ENSMUSG00000001435
228,Entpd2,ENSMUSG00000015085
229,Scn7a,ENSMUSG00000034810
230,Hist4h4,ENSMUSG00000096010
231,Olfml2a,ENSMUSG00000046618
232,Fam198b,ENSMUSG00000027955
233,P4ha3,ENSMUSG00000051048
234,Nid1,ENSMUSG00000005397
235,Greb1,ENSMUSG00000036523
236,Col12a1,ENSMUSG00000032332
237,Tgfb2,ENSMUSG00000039239
238,Olfml3,ENSMUSG00000027848
239,Hey2,ENSMUSG00000019789
240,Tmprss5,ENSMUSG00000032268
241,Cpxm2,ENSMUSG00000030862
242,Col9a2,ENSMUSG00000028626
243,Ltbp1,ENSMUSG00000001870
244,Ctgf,ENSMUSG00000019997
245,Col11a1,ENSMUSG00000027966
246,Spon2,ENSMUSG00000037379
247,Gpc4,ENSMUSG00000031119
248,Svep1,ENSMUSG00000028369
249,Col1a2,ENSMUSG00000029661
250,Col3a1,ENSMUSG00000026043
251,Col5a1,ENSMUSG00000026837
252,Dpt,ENSMUSG00000026574
253,Wisp1,ENSMUSG00000005124
254,Col6a3,ENSMUSG00000048126
255,Lsp1,ENSMUSG00000018819
256,Gucy1a3,ENSMUSG00000033910
257,Loxl1,ENSMUSG00000032334
258,Col1a1,ENSMUSG00000001506
259,Fibin,ENSMUSG00000074971
260,Tcf21,ENSMUSG00000045680
261,Adra1a,ENSMUSG00000045875
262,Clmp,ENSMUSG00000032024
263,Hmcn2,ENSMUSG00000055632
264,Kcnn3,ENSMUSG00000000794
265,Pid1,ENSMUSG00000045658
266,Lhfp,ENSMUSG00000048332
267,Tgfb3,ENSMUSG00000021253
268,Serping1,ENSMUSG00000023224
269,Lamb1,ENSMUSG00000002900
270,Mfap4,ENSMUSG00000042436
271,Angptl2,ENSMUSG00000004105
272,Thbs2,ENSMUSG00000023885
273,Dcn,ENSMUSG00000019929
274,Igfbp4,ENSMUSG00000017493
275,Mmp2,ENSMUSG00000031740
276,Lum,ENSMUSG00000036446
277,Smoc2,ENSMUSG00000023886
278,Pdgfra,ENSMUSG00000029231
279,Ngf,ENSMUSG00000027859
280,Mfap2,ENSMUSG00000060572
281,Clec3b,ENSMUSG00000025784
282,Aspn,ENSMUSG00000021388
283,Pde3a,ENSMUSG00000041741
284,Ms4a4d,ENSMUSG00000024678
285,Cdkn1c,ENSMUSG00000037664
286,Gjb1,ENSMUSG00000047797
287,2700046A07Rik,ENSMUSG00000041789
288,Sp7,ENSMUSG00000060284
289,Npb,ENSMUSG00000044034
290,Mog,ENSMUSG00000076439
291,Hapln2,ENSMUSG00000004894
292,Nkx2-9,ENSMUSG00000058669
293,Klk6,ENSMUSG00000050063
294,Apod,ENSMUSG00000022548
295,Trf,ENSMUSG00000032554
296,Ppp1r14a,ENSMUSG00000037166
297,Itgb4,ENSMUSG00000020758
298,Nkx6-2,ENSMUSG00000041309
299,Prr5l,ENSMUSG00000032841
300,Tmem88b,ENSMUSG00000073680
301,Fa2h,ENSMUSG00000033579
302,Ugt8a,ENSMUSG00000032854
303,Prrg1,ENSMUSG00000047996
304,Ermn,ENSMUSG00000026830
305,Anln,ENSMUSG00000036777
306,Efhd1,ENSMUSG00000026255
307,Arap2,ENSMUSG00000037999
308,Gpr37,ENSMUSG00000039904
309,Hhip,ENSMUSG00000064325
310,Ano4,ENSMUSG00000035189
311,Ccp110,ENSMUSG00000033904
312,Prox1,ENSMUSG00000010175
313,Unc5b,ENSMUSG00000020099
314,Car2,ENSMUSG00000027562
315,Mal,ENSMUSG00000027375
316,Evi2a,ENSMUSG00000078771
317,Eya2,ENSMUSG00000017897
318,Wfdc18,ENSMUSG00000000983
319,Tspan2,ENSMUSG00000027858
320,Pdlim2,ENSMUSG00000022090
321,Plekhh1,ENSMUSG00000060716
322,Opalin,ENSMUSG00000050121
323,Tmem141,ENSMUSG00000026939
324,Birc2,ENSMUSG00000057367
325,2210011C24Rik,ENSMUSG00000074217
326,Grb14,ENSMUSG00000026888
327,Mag,ENSMUSG00000036634
328,Ninj2,ENSMUSG00000041377
329,Fam214a,ENSMUSG00000034858
330,Arhgef19,ENSMUSG00000028919
331,Ctps,ENSMUSG00000028633
332,Btbd16,ENSMUSG00000040298
333,Rassf10,ENSMUSG00000098132
334,Tmem163,ENSMUSG00000026347
335,Adamts4,ENSMUSG00000006403
336,Cnksr3,ENSMUSG00000015202
337,Fcnaos,ENSMUSG00000052403
338,Il23a,ENSMUSG00000025383
339,Col9a3,ENSMUSG00000027570
340,Rras2,ENSMUSG00000055723
341,Prom1,ENSMUSG00000029086
342,Mob3b,ENSMUSG00000073910
343,Atp10b,ENSMUSG00000055415
344,Lrrc16a,ENSMUSG00000021338
345,Rnf122,ENSMUSG00000039328
346,Nckap5,ENSMUSG00000049690
347,Kank1,ENSMUSG00000032702
348,Tmem2,ENSMUSG00000024754
349,Sema4d,ENSMUSG00000021451
350,Pcdh17,ENSMUSG00000035566
351,Rasgef1b,ENSMUSG00000029333
352,Itpr2,ENSMUSG00000030287
353,Cdyl,ENSMUSG00000059288
354,Tnr,ENSMUSG00000015829
355,Sema3d,ENSMUSG00000040254
356,Chn2,ENSMUSG00000004633
357,Enpp6,ENSMUSG00000038173
358,Pdcd4,ENSMUSG00000024975
359,Gjc3,ENSMUSG00000056966
360,Frmd4a,ENSMUSG00000026657
361,Vcan,ENSMUSG00000021614
362,Adcy10,ENSMUSG00000026567
363,Brca1,ENSMUSG00000017146
364,Traf4,ENSMUSG00000017386
365,Pak4,ENSMUSG00000030602
366,Pycr1,ENSMUSG00000025140
367,Bmp4,ENSMUSG00000021835
368,Bfsp2,ENSMUSG00000032556
369,Neu4,ENSMUSG00000034000
370,Mpzl1,ENSMUSG00000026566
371,Fyn,ENSMUSG00000019843
372,Mycl,ENSMUSG00000028654
373,Lims2,ENSMUSG00000024395
374,A930009A15Rik,ENSMUSG00000092210
375,Tmem108,ENSMUSG00000042757
376,Gpr17,ENSMUSG00000052229
377,Peg3,ENSMUSG00000002265
378,Rnf207,ENSMUSG00000058498
379,Maob,ENSMUSG00000040147
380,Tph2,ENSMUSG00000006764
381,Nyap2,ENSMUSG00000054976
382,Fam84a,ENSMUSG00000020607
383,Slc6a4,ENSMUSG00000020838
384,Hs6st2,ENSMUSG00000062184
385,Usp29,ENSMUSG00000051527
386,Esm1,ENSMUSG00000042379
387,Rps6ka6,ENSMUSG00000025665
388,Gata3,ENSMUSG00000015619
389,C130021I20Rik,ENSMUSG00000052951
390,Slc7a8,ENSMUSG00000022180
391,C77370,ENSMUSG00000046449
392,Ddc,ENSMUSG00000020182
393,Pak3,ENSMUSG00000031284
394,Cndp1,ENSMUSG00000056162
395,Plcxd1,ENSMUSG00000064247
396,Adra1b,ENSMUSG00000050541
397,Gchfr,ENSMUSG00000046814
398,Bex4,ENSMUSG00000047844
399,BC030500,ENSMUSG00000049946
400,Cryba2,ENSMUSG00000006546
401,Arhgap24,ENSMUSG00000057315
402,Wfdc12,ENSMUSG00000042845
403,Plch1,ENSMUSG00000036834
404,Pgr15l,ENSMUSG00000031212
405,Irs4,ENSMUSG00000054667
406,Fndc9,ENSMUSG00000048721
407,Peg10,ENSMUSG00000092035
408,Nkx6-1,ENSMUSG00000035187
409,Cbarp,ENSMUSG00000035640
410,Nrsn2,ENSMUSG00000059361
411,Cpne7,ENSMUSG00000034796
412,Calcr,ENSMUSG00000023964
413,Vwa5b1,ENSMUSG00000028753
414,Dnajc12,ENSMUSG00000036764
415,Lmx1b,ENSMUSG00000038765
416,Oprl1,ENSMUSG00000027584
417,Gabre,ENSMUSG00000031340
418,Rtl1,ENSMUSG00000085925
419,Gaa,ENSMUSG00000025579
420,Dlk1,ENSMUSG00000040856
421,Fgd5,ENSMUSG00000034037
422,Rimbp2,ENSMUSG00000029420
423,Chgb,ENSMUSG00000027350
424,Htr1a,ENSMUSG00000021721
425,Gm26917,ENSMUSG00000097971
426,Tmem255a,ENSMUSG00000036502
427,Gabrq,ENSMUSG00000031344
428,Ralyl,ENSMUSG00000039717
429,Htr1b,ENSMUSG00000049511
430,Zdbf2,ENSMUSG00000027520
431,5031425F14Rik,ENSMUSG00000085129
432,Frmpd3,ENSMUSG00000042425
433,Nudt11,ENSMUSG00000073295
434,Shox2,ENSMUSG00000027833
435,Chodl,ENSMUSG00000022860
436,B630019K06Rik,ENSMUSG00000052364
437,Grip2,ENSMUSG00000030098
438,Fev,ENSMUSG00000055197
439,Slc18a2,ENSMUSG00000025094
440,Acsl4,ENSMUSG00000031278
441,Cdyl2,ENSMUSG00000031758
442,Baiap3,ENSMUSG00000047507
443,Ankrd55,ENSMUSG00000049985
444,Slc22a3,ENSMUSG00000023828
445,Tspyl2,ENSMUSG00000041096
446,Mirg,ENSMUSG00000097391
447,1700024P16Rik,ENSMUSG00000078612
448,Hrk,ENSMUSG00000046607
449,Tekt5,ENSMUSG00000039179
450,Fat3,ENSMUSG00000074505
451,A830036E02Rik,ENSMUSG00000084890
452,Grm5,ENSMUSG00000049583
453,Arsj,ENSMUSG00000046561
454,Gm28050,ENSMUSG00000099061
455,Rfx3,ENSMUSG00000040929
456,2900079G21Rik,ENSMUSG00000087038
457,Dbpht2,ENSMUSG00000029878
458,Dtl,ENSMUSG00000037474
459,6530403H02Rik,ENSMUSG00000098097
460,Ddn,ENSMUSG00000059213
461,3300002P13Rik,ENSMUSG00000107585
462,Cntnap5a,ENSMUSG00000070695
463,Rxfp1,ENSMUSG00000034009
464,Ovol2,ENSMUSG00000037279
465,Fermt1,ENSMUSG00000027356
466,RP24-134N2.1,ENSMUSG00000109372
467,Nos1ap,ENSMUSG00000038473
468,Kcnh3,ENSMUSG00000037579
469,Fezf2,ENSMUSG00000021743
470,Kcnf1,ENSMUSG00000051726
471,Kctd4,ENSMUSG00000046523
472,Lypd1,ENSMUSG00000026344
473,Ptprc,ENSMUSG00000026395
474,Il16,ENSMUSG00000001741
475,Gm26644,ENSMUSG00000097683
476,Myo5b,ENSMUSG00000025885
477,Nr4a3,ENSMUSG00000028341
478,Tbata,ENSMUSG00000020096
479,Plxna1,ENSMUSG00000030084
480,Rnf182,ENSMUSG00000044164
481,Ak5,ENSMUSG00000039058
482,Gabra5,ENSMUSG00000055078
483,Orai2,ENSMUSG00000039747
484,Banp,ENSMUSG00000025316
485,Cnih2,ENSMUSG00000024873
486,Slc26a4,ENSMUSG00000020651
487,Cpne6,ENSMUSG00000022212
488,4921539H07Rik,ENSMUSG00000104586
489,Lefty1,ENSMUSG00000038793
490,Spink8,ENSMUSG00000050074
491,Neurod6,ENSMUSG00000037984
492,Gria1,ENSMUSG00000020524
493,Hpca,ENSMUSG00000028785
494,2010300C02Rik,ENSMUSG00000026090
495,Abi3bp,ENSMUSG00000035258
496,4930426D05Rik,ENSMUSG00000043168
497,Lmo3,ENSMUSG00000030226
498,Rgs14,ENSMUSG00000052087
499,Wnt7b,ENSMUSG00000022382
500,Nxph3,ENSMUSG00000046719
501,Tle4,ENSMUSG00000024642
502,3110079O15Rik,ENSMUSG00000026258
503,E130012A19Rik,ENSMUSG00000043439
504,Myh3,ENSMUSG00000020908
505,Rprm,ENSMUSG00000075334
506,Garnl3,ENSMUSG00000038860
507,3110035E14Rik,ENSMUSG00000067879
